"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","4月支払金額","5月繰越残高","新規サイン"
"2024/04/04","ＥＴＣカード年会費／２５年０３月迄","本人","1回払い","550","0","550","550","0","*"
"2024/03/26","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","899","","","","","*"
"2024/03/24","PAYPAL *SYNTHESIA利用国US","本人","リボ払い","6036","","","","","*"
"","現地利用額　　　　　　　　３９．０００変換レート　１５４．７７０円","","","","","","","",""
"2024/03/22","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","1250","","","","","*"
"2024/03/22","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","1750","","","","","*"
"2024/03/21","AMAZON PRIME*SN24C91利用国GB","本人","リボ払い","18717","","","","","*"
"","現地利用額　　　　　　　　９５．０００変換レート　１９７．０２２円","","","","","","","",""
"2024/03/20","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","23731","","","","","*"
"2024/03/15","MOBAL NARITA MOBAL N利用国JP","本人","リボ払い","900","","","","","*"
"","現地利用額　　　　　　　９００．０００変換レート　　　１．０００円","","","","","","","",""
"2024/03/13","PAYPAL *STEAM GAMES利用国GB","本人","リボ払い","1125","","","","","*"
"","現地利用額　　　　　　１１２５．０００変換レート　　　１．０００円","","","","","","","",""
"2024/03/12","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","1340","","","","","*"
"2024/03/11","ｱﾏｿﾞﾝ JP ﾏ-ｹﾂﾄﾌﾟ","本人","リボ払い","2334","","","","","*"
"2024/03/11","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","700","","","","","*"
"2024/03/08","ｱﾂﾌﾟﾙ ｱｲﾁﾕ-ﾝｽﾞ ｽ","本人","リボ払い","130","","","","","*"
"2024/03/08","PAYPAL *STEAM GAMES利用国GB","本人","リボ払い","2300","","","","","*"
"","現地利用額　　　　　　２３００．０００変換レート　　　１．０００円","","","","","","","",""
"2024/03/01","MOBAL NARITA MOBAL N利用国JP","本人","リボ払い","1480","","","","","*"
"","現地利用額　　　　　　１４８０．０００変換レート　　　１．０００円","","","","","","","",""
