"利用日","利用店名・商品名","利用者","支払方法","利用金額","支払手数料","支払総額","8月支払金額","9月繰越残高","新規サイン"
"2025/07/31","ファミリーマート","本人","1回払い","823","0","823","823","0","*"
"2025/07/31","JRﾆｼﾆﾎﾝ","本人","1回払い","13300","0","13300","13300","0","*"
"2025/07/31","ｾﾌﾞﾝｲﾚﾌﾞﾝ","本人","1回払い","842","0","842","842","0","*"
"2025/07/27","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","7784","0","7784","7784","0","*"
"2025/07/25","GRAMMARLY CO*GKUCOD9利用国US","本人","1回払い","21944","0","21944","21944","0","*"
"","現地利用額　　　　　　　１４４．０００変換レート　１５２．３８９円","","","","","","","",""
"2025/07/25","イデミツ（アポロステーション）","本人","1回払い","1272","0","1272","1272","0","*"
"2025/07/21","STEAMGAMES.COM 42595利用国US","本人","1回払い","2500","0","2500","2500","0","*"
"","現地利用額　　　　　　２５００．０００変換レート　　　１．０００円","","","","","","","",""
"2025/07/21","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","7909","0","7909","7909","0","*"
"2025/07/17","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","5272","0","5272","5272","0","*"
"2025/07/10","イデミツ（アポロステーション）","本人","1回払い","3060","0","3060","3060","0","*"
"2025/07/10","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","4281","0","4281","4281","0","*"
"2025/07/07","ｱﾙﾋﾞｽ ﾌｸﾐﾂﾃﾝ","本人","1回払い","3979","0","3979","3979","0","*"
"2025/07/04","CLOUDFLARE利用国US","本人","1回払い","862","0","862","862","0","*"
"","現地利用額　　　　　　　　　５．７３０変換レート　１５０．４３７円","","","","","","","",""
"2025/07/03","ﾊﾞﾛ-(ｽ-ﾊﾟ-)","本人","1回払い","2783","0","2783","2783","0","*"
